Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. L'Age d'Or,1930,1h 3m,Not Rated,7.2,15K,,"A surrealist tale of a man and a woman who are passionately in love with each other, but their attempts to consummate that passion are constantly thwarted by their families, the Church, and bourgeois society.",https://www.imdb.com/title/tt0021577/?ref_=sr_i_1,"['Luis Buñuel', 'Salvador Dalí', 'Marquis de Sade']",['Luis Buñuel'],"['Gaston Modot', 'Lya Lys', 'Caridad de Laberdesque', 'Max Ernst', 'Artigas', 'Lionel Salem', 'Germaine Noizet', 'Duchange', 'Bonaventura Ibáñez', 'Jean Aurenche']",,"$7,940","$32,712","$32,712","November 1, 1979",['France'],"['Cabo de Creus, Girona, Catalonia, Spain (opening sequence - landscape)']",['Vicomte de Noailles'],,"['Dark Comedy', 'Raunchy Comedy', 'Satire', 'Comedy', 'Drama']",['French']
2. All Quiet on the Western Front,1930,2h 32m,Approved,8.1,70K,91.0,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",https://www.imdb.com/title/tt0020629/?ref_=sr_i_2,"['Erich Maria Remarque', 'Maxwell Anderson', 'George Abbott']",['Lewis Milestone'],"['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy', 'Ben Alexander', 'Scott Kolk', 'Owen Davis Jr.', 'Walter Rogers', 'William Bakewell', 'Russell Gleason']","$1,200,000 (estimated)",,,,"August 24, 1930",['United States'],"['Sherwood Forest, California, USA']","['Universal Pictures', 'RKO Radio Pictures']","Won 2 Oscars, 10 wins & 2 nominations total","['Epic', 'Psychological Drama', 'Tragedy', 'War Epic', 'Drama', 'War']","['English', 'French', 'German', 'Latin']"
3. The Big Trail,1930,2h 5m,Passed,7.2,4.7K,,Breck Coleman leads hundreds of settlers in covered wagons from the Mississippi River to their destiny out West.,https://www.imdb.com/title/tt0020691/?ref_=sr_i_3,"['Hal G. Evarts', 'Marie Boyle', 'Jack Peabody']","['Raoul Walsh', 'Louis R. Loeffler']","['John Wayne', 'Marguerite Churchill', 'El Brendel', 'Tully Marshall', 'Tyrone Power Sr.', 'David Rollins', 'Frederick Burton', 'Ian Keith', 'Charles Stevens', 'Louise Carver']","$2,000,000 (estimated)",,,,"November 1, 1930",['United States'],"['Jackson Hole, Wyoming, USA']",['Fox Film Corporation'],"Awards, 5 wins total","['Classical Western', 'Adventure', 'Drama', 'Romance', 'Western']",['English']
4. Hell's Angels,1930,2h 7m,Passed,7.3,6.3K,,Brothers Monte and Ray leave Oxford to join the Royal Flying Corps. Ray loves Helen; Helen enjoys an affair with Monte; before they leave on their mission over Germany they find her in still another man's arms.,https://www.imdb.com/title/tt0020960/?ref_=sr_i_4,"['Marshall Neilan', 'Joseph Moncure March', 'Howard Estabrook']","['Howard Hughes', 'Edmund Goulding', 'James Whale']","['Ben Lyon', 'James Hall', 'Jean Harlow', 'John Darrow', 'Lucien Prival', 'Frank Clarke', 'Roy Wilson', 'Douglas Gilmore', 'Jane Winton', 'Evelyn Hall']","$3,950,000 (estimated)",,,,"November 15, 1930",['United States'],"['Santa Paula Canyon, Santa Paula, California, USA (German bomber crash scene)']",['The Caddo Company'],"Nominated for 1 Oscar, 1 nomination total","['Drama', 'War']","['English', 'German', 'French']"
5. Ladies of Leisure,1930,1h 39m,Approved,6.6,1.7K,,An upper-crust artist hires a 'party girl' as a model; romance follows.,https://www.imdb.com/title/tt0021040/?ref_=sr_i_5,"['Milton Herbert Gropper', 'Jo Swerling']",['Frank Capra'],"['Barbara Stanwyck', 'Ralph Graves', 'Lowell Sherman', 'Marie Prevost', ""Nance O'Neil"", 'George Fawcett', 'Juliette Compton', 'Johnnie Walker', 'Willie Best', 'Charles Butterworth']",,,,,"April 5, 1930",['United States'],"['Malibu Lake, California, USA (exterior locations)']",['Columbia Pictures'],"Awards, 2 wins total","['Drama', 'Romance']",['English']
6. Monte Carlo,1930,1h 30m,Passed,6.7,1.5K,,"A countess flees to Monte Carlo on the day of her wedding, where she is courted by a count posing as a hairdresser.",https://www.imdb.com/title/tt0021153/?ref_=sr_i_6,"['Ernest Vajda', 'Hans Müller', 'Booth Tarkington']",['Ernst Lubitsch'],"['Jeanette MacDonald', 'Jack Buchanan', 'Claud Allister', 'Zasu Pitts', 'Tyler Brooke', 'John Roche', 'Lionel Belmore', 'Albert Conti', 'Helen Garden', 'Donald Novis']","$726,465 (estimated)",,,,"August 27, 1930",['United States'],"['Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA (Studio)']",['Paramount Pictures'],"Awards, 3 wins total","['Comedy', 'Musical', 'Romance']","['English', 'French']"
7. The Blue Angel,1930,1h 44m,Passed,7.6,17K,90.0,An elderly professor's ordered life spins dangerously out of control when he falls for a nightclub singer.,https://www.imdb.com/title/tt0020697/?ref_=sr_i_7,"['Heinrich Mann', 'Carl Zuckmayer', 'Karl Vollmöller']",['Josef von Sternberg'],"['Emil Jannings', 'Marlene Dietrich', 'Kurt Gerron', 'Rosa Valetti', 'Hans Albers', 'Reinhold Bernt', 'Eduard von Winterstein', 'Hans Roth', 'Rolf Müller', 'Roland Varno']","$500,000 (estimated)",,"$4,410",,"December 5, 1930",['Germany'],"['Berlin, Germany']",['Universum Film (UFA)'],"Awards, 3 wins total","['Psychological Drama', 'Tragedy', 'Drama', 'Music', 'Romance']","['German', 'English', 'French']"
8. Animal Crackers,1930,1h 37m,G,7.4,16K,77.0,Mayhem and zaniness ensue when a valuable painting goes missing during a party in honor of famed African explorer Captain Spaulding.,https://www.imdb.com/title/tt0020640/?ref_=sr_i_8,"['George S. Kaufman', 'Morrie Ryskind', 'Bert Kalmar']",['Victor Heerman'],"['Groucho Marx', 'Harpo Marx', 'Chico Marx', 'The Marx Brothers', 'Zeppo Marx', 'Lillian Roth', 'Margaret Dumont', 'Louis Sorin', 'Hal Thompson', 'Margaret Irving']",,,,"$910,015","September 6, 1930",['United States'],"['Paramount Studios, Astoria, Queens, New York City, New York, USA (Studio)']",['Paramount Pictures'],"Awards, 2 nominations total","['Classic Musical', 'Farce', 'Slapstick', 'Comedy', 'Family', 'Musical']",['English']
9. Morocco,1930,1h 32m,Approved,7.0,7.9K,,"A cabaret singer and a Legionnaire fall in love, but their relationship is complicated by the results of his womanizing and the appearance of a rich man who wants her for himself.",https://www.imdb.com/title/tt0021156/?ref_=sr_i_9,"['Jules Furthman', 'Benno Vigny']",['Josef von Sternberg'],"['Gary Cooper', 'Marlene Dietrich', 'Adolphe Menjou', 'Ullrich Haupt', 'Eve Southern', 'Francis McDonald', 'Paul Porcasi', 'Louise Ali', 'Fay Allen', 'Allegretti Anderson']",,,$191,,"December 6, 1930",['United States'],"['Guadalupe-Nipomo Dunes, California, USA']",['Paramount Pictures'],"Nominated for 4 Oscars, 5 wins & 4 nominations total","['Drama', 'Romance']","['English', 'French', 'Spanish', 'Arabic', 'Italian']"
10. Murder!,1930,1h 32m,TV-PG,6.3,7.4K,,"A juror in a murder trial, after voting to convict, has second thoughts and begins to investigate on his own before the execution.",https://www.imdb.com/title/tt0021165/?ref_=sr_i_10,"['Clemence Dane', 'Helen Simpson', 'Alfred Hitchcock']",['Alfred Hitchcock'],"['Herbert Marshall', 'Norah Baring', 'Phyllis Konstam', 'Edward Chapman', 'Miles Mander', 'Esme Percy', 'Donald Calthrop', 'Esme V. Chaplin', 'Amy Brandon Thomas', 'Joynson Powell']",,,,,"November 24, 1930",['United Kingdom'],"['Elstree Studios, Borehamwood, Hertfordshire, England, UK (studio: A British International Production made at Elstree, London)']",['British International Pictures (BIP)'],,"['Crime', 'Drama', 'Mystery', 'Thriller']",['English']
