Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Jenny Lamour,1947,1h 46m,Not Rated,7.7,6.6K,89,"A jealous husband intends to kill the man his wife is meeting for business, but arrives to find the deed already done.",https://www.imdb.com/title/tt0039739/?ref_=sr_i_1
2. Monsieur Verdoux,1947,2h 4m,Approved,7.8,20K,,"A suave but cynical man supports his family by marrying and murdering rich women for their money, but the job has some occupational hazards.",https://www.imdb.com/title/tt0039631/?ref_=sr_i_2
3. It Always Rains on Sunday,1947,1h 32m,Approved,7.1,2.6K,,"An escaped convict tries to hide out at his former lover's house, but she has since married and is reluctant to help him.",https://www.imdb.com/title/tt0040481/?ref_=sr_i_3
4. Antoine & Antoinette,1947,1h 24m,,7.4,1.2K,,"Working class couple Antoine and Antoinette dream of a better life. In the midst of constantly fending off the unwanted attention of men, especially the grocer Monsieur Roland, Antoinette purchases a winning lottery ticket. But when Antoine loses their ticket out of poverty, their dreams seem like they'll remain just that.",https://www.imdb.com/title/tt0039155/?ref_=sr_i_4
5. Odd Man Out,1947,1h 56m,Approved,7.6,12K,87,A wounded Irish nationalist leader attempts to evade police following a failed robbery in Belfast.,https://www.imdb.com/title/tt0039677/?ref_=sr_i_5
6. The Two Mrs. Carrolls,1947,1h 39m,Approved,6.8,5.2K,,"An artist forms an attachment with a woman on holiday in the country. As the relationship develops, his behavior and information about his past cause her increasing concern.",https://www.imdb.com/title/tt0039926/?ref_=sr_i_6
7. Black Narcissus,1947,1h 41m,Approved,7.7,29K,86,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.",https://www.imdb.com/title/tt0039192/?ref_=sr_i_7
8. Cry Wolf,1947,1h 23m,Approved,6.6,2.1K,,"Recently widowed Sandra Demarest arrives at the isolated home of her late husband for his wake, but his uncle will not allow her to view the corpse.",https://www.imdb.com/title/tt0039288/?ref_=sr_i_8
9. Possessed,1947,1h 48m,Approved,7.1,6.1K,,"After being found wandering the streets of Los Angeles, a severely catatonic woman tells a doctor the complex story of how she wound up there.",https://www.imdb.com/title/tt0039725/?ref_=sr_i_9
10. Out of the Past,1947,1h 37m,Approved,8.0,42K,85,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames.",https://www.imdb.com/title/tt0039689/?ref_=sr_i_10
11. The Ghost and Mrs. Muir,1947,1h 44m,Approved,7.8,22K,,"In 1900, a young widow finds her seaside cottage is haunted and forms a unique relationship with the ghost.",https://www.imdb.com/title/tt0039420/?ref_=sr_i_11
12. Merton of the Movies,1947,1h 22m,Approved,6.3,518,,A Kansas bumpkin goes to Hollywood to become a movie star and gets a job burlesquing his favorite actor - only he thinks the role is serious.,https://www.imdb.com/title/tt0039619/?ref_=sr_i_12
13. Miracle on 34th Street,1947,1h 36m,Approved,7.9,58K,88,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.",https://www.imdb.com/title/tt0039628/?ref_=sr_i_13
14. The Lady from Shanghai,1947,1h 27m,Approved,7.5,35K,,"Fascinated by gorgeous Mrs. Bannister, seaman Michael O'Hara joins a bizarre yachting cruise, and ends up mired in a complex murder plot.",https://www.imdb.com/title/tt0040525/?ref_=sr_i_14
15. Dark Passage,1947,1h 46m,Approved,7.5,23K,68,A man convicted of murdering his wife escapes from prison and works with a woman to try to prove his innocence.,https://www.imdb.com/title/tt0039302/?ref_=sr_i_15
16. The Secret Life of Walter Mitty,1947,1h 50m,Approved,6.9,7.2K,,A clumsy daydreamer gets caught up in a sinister conspiracy.,https://www.imdb.com/title/tt0039808/?ref_=sr_i_16
17. Lured,1947,1h 42m,Approved,7.0,5.3K,,British police are after a serial killer who lures his female victims through newspaper personal ads and sends cryptic poem clues to the cops.,https://www.imdb.com/title/tt0039589/?ref_=sr_i_17
