link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0083866/?ref_=sr_i_1,['Melissa Mathison'],['Steven Spielberg'],"['Henry Thomas', 'Drew Barrymore', 'Peter Coyote', 'Dee Wallace', 'Robert MacNaughton', 'K.C. Martel', 'Sean Frye', 'C. Thomas Howell', 'Erika Eleniak', ""David M. O'Dell""]","$10,500,000 (estimated)","$11,835,389","$797,307,407","$439,454,989","June 11, 1982",['United States'],"[""7121 Lonzo Street, Tujunga, Los Angeles, California, USA (Elliott's home)""]","['Universal Pictures', 'Amblin Entertainment']","Won 4 Oscars, 52 wins & 38 nominations total","['Coming-of-Age', 'Space Sci-Fi', 'Adventure', 'Family', 'Sci-Fi']",['English']
https://www.imdb.com/title/tt0084805/?ref_=sr_i_2,"['Don McGuire', 'Larry Gelbart', 'Murray Schisgal']",['Sydney Pollack'],"['Dustin Hoffman', 'Jessica Lange', 'Teri Garr', 'Dabney Coleman', 'Charles Durning', 'Bill Murray', 'Sydney Pollack', 'George Gaynes', 'Geena Davis', 'Doris Belack']","$21,000,000 (estimated)","$5,540,470","$177,200,285","$177,200,000","December 17, 1982",['United States'],"['Hurley Mountain Inn, Hurley, New York, USA (bar scene)']","['Columbia Pictures', 'Mirage Enterprises', 'Punch Productions']","Won 1 Oscar, 26 wins & 31 nominations total","['Farce', 'High-Concept Comedy', 'Romantic Comedy', 'Comedy', 'Drama', 'Romance']",['English']
https://www.imdb.com/title/tt0084434/?ref_=sr_i_3,['Douglas Day Stewart'],['Taylor Hackford'],"['Richard Gere', 'Debra Winger', 'David Keith', 'Robert Loggia', 'Lisa Blount', 'Lisa Eilbacher', 'Louis Gossett Jr.', 'Tony Plana', 'Harold Sylvester', 'David Caruso']","$7,500,000 (estimated)","$3,304,679","$129,795,890","$129,795,554","August 13, 1982",['United States'],"['Fort Worden State Park - 200 Battery Way E, Port Townsend, Washington, USA (Point Wilson Lighthouse where GySgt Foley is conducting ""Incentive Training"" with Mayo running ""rifle drills"" on the beach.)']","['Lorimar Film Entertainment', 'Paramount Pictures']","Won 2 Oscars, 9 wins & 15 nominations total","['Feel-Good Romance', 'Drama', 'Romance']","['English', 'Filipino']"
https://www.imdb.com/title/tt0084602/?ref_=sr_i_4,['Sylvester Stallone'],['Sylvester Stallone'],"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers', 'Burgess Meredith', 'Tony Burton', 'Mr. T', 'Hulk Hogan', 'Ian Fried', 'Al Silvani']","$17,000,000 (estimated)","$12,431,486","$125,052,898","$125,049,125","May 28, 1982",['United States'],"['Santa Monica Beach, Santa Monica, California, USA (running scenes)']","['Chartoff-Winkler Productions', 'United Artists']","Nominated for 1 Oscar, 3 wins & 9 nominations total","['Boxing', 'Drama', 'Sport']",['English']
https://www.imdb.com/title/tt0084726/?ref_=sr_i_5,"['Gene Roddenberry', 'Jack B. Sowards', 'Harve Bennett']",['Nicholas Meyer'],"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan', 'Walter Koenig', 'George Takei', 'Nichelle Nichols', 'Bibi Besch', 'Merritt Butrick', 'Paul Winfield']","$11,200,000 (estimated)","$14,347,221","$79,822,604","$79,707,906","June 4, 1982",['United States'],"['Golden Gate Park, San Francisco, California, USA']",['Paramount Pictures'],"Awards, 4 wins & 9 nominations total","['Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']",['English']
https://www.imdb.com/title/tt0083511/?ref_=sr_i_6,"['Roger Spottiswoode', 'Walter Hill', 'Larry Gross']",['Walter Hill'],"['Nick Nolte', 'Eddie Murphy', ""Annette O'Toole"", 'Frank McRae', 'James Remar', 'David Patrick Kelly', 'Sonny Landham', 'Brion James', 'Kerry Sherman', 'Jonathan Banks']","$12,000,000 (estimated)","$4,369,868","$78,868,669","$78,868,508","December 8, 1982",['United States'],"[""Torchy's Bar - 218 1/2 West Fifth Street, Downtown, Los Angeles, California, USA (As San Francisco. Redneck bar scene. Since Demolished.)""]","['Paramount Pictures', 'Lawrence Gordon Productions']","Awards, 2 wins & 2 nominations total","['Buddy Cop', 'Cop Drama', 'Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","['English', 'Spanish']"
https://www.imdb.com/title/tt0084516/?ref_=sr_i_7,"['Steven Spielberg', 'Michael Grais', 'Mark Victor']",['Tobe Hooper'],"['JoBeth Williams', ""Heather O'Rourke"", 'Craig T. Nelson', 'Beatrice Straight', 'Dominique Dunne', 'Oliver Robins', 'Michael McManus', 'Virginia Kiser', 'Martin Casella', 'Richard Lawson']","$10,700,000 (estimated)","$6,896,612","$77,233,131","$77,177,301","June 4, 1982",['United States'],"['4267 Roxbury Street, Forest Hills, Simi Valley, California, USA (Freeling house exteriors)']","['Metro-Goldwyn-Mayer (MGM)', 'SLM Production Group']","Nominated for 3 Oscars, 5 wins & 9 nominations total","['Supernatural Horror', 'Horror', 'Thriller']",['English']
https://www.imdb.com/title/tt0083642/?ref_=sr_i_8,"['Larry L. King', 'Peter Masterson', 'Colin Higgins']",['Colin Higgins'],"['Burt Reynolds', 'Dolly Parton', 'Dom DeLuise', 'Charles Durning', 'Jim Nabors', 'Robert Mandan', 'Lois Nettleton', 'Theresa Merritt', 'Noah Beery Jr.', 'Raleigh Bond']","$35,000,000 (estimated)","$11,874,268","$69,701,637","$69,701,637","July 23, 1982",['United States'],"['Pflugerville, Texas, USA (chicken ranch exteriors)']","['Universal Pictures', 'RKO Pictures', 'Miller-Milkis-Boyett Productions']","Nominated for 1 Oscar, 3 nominations total","['Comedy', 'Musical']",['English']
https://www.imdb.com/title/tt0083564/?ref_=sr_i_9,"['Carol Sobieski', 'Thomas Meehan', 'Martin Charnin']",['John Huston'],"['Aileen Quinn', 'Albert Finney', 'Carol Burnett', 'Ann Reinking', 'Tim Curry', 'Bernadette Peters', 'Geoffrey Holder', 'Roger Minami', 'Toni Ann Gisondi', 'Rosanne Sorrentino']","$50,000,000 (estimated)","$510,632","$57,063,861","$57,059,003","June 18, 1982",['United States'],"['Woodrow Wilson Hall, Monmouth College - 45 Elm Road, West Long Branch, New Jersey, USA (Daddy Warbucks townhouse)']","['Columbia Pictures', 'Rastar Pictures']","Nominated for 2 Oscars, 2 wins & 13 nominations total","['Comedy', 'Drama', 'Family', 'Musical']",['English']
https://www.imdb.com/title/tt0084855/?ref_=sr_i_10,"['Barry Reed', 'David Mamet', 'Jay Presson Allen']",['Sidney Lumet'],"['Paul Newman', 'Charlotte Rampling', 'Jack Warden', 'James Mason', ""Milo O'Shea"", 'Lindsay Crouse', 'Edward Binns', 'Julie Bovasso', 'Roxanne Hart', 'James Handy']","$16,000,000 (estimated)","$100,982","$53,993,738","$53,977,250","December 17, 1982",['United States'],"[""George's Variety - G Street, South Boston, Boston, Massachusetts, USA""]",['Twentieth Century Fox'],"Nominated for 5 Oscars, 3 wins & 14 nominations total","['Legal Drama', 'Drama']",['English']
